[17-Jan-2016 01:51:29] PHP Fatal error:  Call to a member function num_rows() on a non-object in /home/biostatv/domains/oprogramowanie-dedykowane.pl/public_html/include/class/Session.php on line 111
[25-Jan-2016 11:48:43] PHP Warning:  scandir(/home/biostatv/domains/badania-telefoniczne.pl/public_html/assets/img/logos) [<a href='function.scandir'>function.scandir</a>]: failed to open dir: No such file or directory in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 71
[25-Jan-2016 11:48:43] PHP Warning:  scandir() [<a href='function.scandir'>function.scandir</a>]: (errno 2): No such file or directory in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 71
[25-Jan-2016 11:48:43] PHP Warning:  Invalid argument supplied for foreach() in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 74
[25-Jan-2016 11:48:48] PHP Warning:  scandir(/home/biostatv/domains/badania-telefoniczne.pl/public_html/assets/img/logos) [<a href='function.scandir'>function.scandir</a>]: failed to open dir: No such file or directory in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 71
[25-Jan-2016 11:48:48] PHP Warning:  scandir() [<a href='function.scandir'>function.scandir</a>]: (errno 2): No such file or directory in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 71
[25-Jan-2016 11:48:48] PHP Warning:  Invalid argument supplied for foreach() in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 74
[25-Jan-2016 11:48:50] PHP Warning:  scandir(/home/biostatv/domains/badania-telefoniczne.pl/public_html/assets/img/logos) [<a href='function.scandir'>function.scandir</a>]: failed to open dir: No such file or directory in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 71
[25-Jan-2016 11:48:50] PHP Warning:  scandir() [<a href='function.scandir'>function.scandir</a>]: (errno 2): No such file or directory in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 71
[25-Jan-2016 11:48:50] PHP Warning:  Invalid argument supplied for foreach() in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 74
[25-Jan-2016 11:48:50] PHP Warning:  scandir(/home/biostatv/domains/badania-telefoniczne.pl/public_html/assets/img/logos) [<a href='function.scandir'>function.scandir</a>]: failed to open dir: No such file or directory in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 71
[25-Jan-2016 11:48:50] PHP Warning:  scandir() [<a href='function.scandir'>function.scandir</a>]: (errno 2): No such file or directory in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 71
[25-Jan-2016 11:48:50] PHP Warning:  Invalid argument supplied for foreach() in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 74
[25-Jan-2016 11:48:50] PHP Warning:  scandir(/home/biostatv/domains/badania-telefoniczne.pl/public_html/assets/img/logos) [<a href='function.scandir'>function.scandir</a>]: failed to open dir: No such file or directory in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 71
[25-Jan-2016 11:48:50] PHP Warning:  scandir() [<a href='function.scandir'>function.scandir</a>]: (errno 2): No such file or directory in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 71
[25-Jan-2016 11:48:50] PHP Warning:  Invalid argument supplied for foreach() in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 74
[25-Jan-2016 11:48:52] PHP Warning:  scandir(/home/biostatv/domains/badania-telefoniczne.pl/public_html/assets/img/logos) [<a href='function.scandir'>function.scandir</a>]: failed to open dir: No such file or directory in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 71
[25-Jan-2016 11:48:52] PHP Warning:  scandir() [<a href='function.scandir'>function.scandir</a>]: (errno 2): No such file or directory in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 71
[25-Jan-2016 11:48:52] PHP Warning:  Invalid argument supplied for foreach() in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 74
[25-Jan-2016 11:48:59] PHP Warning:  scandir(/home/biostatv/domains/badania-telefoniczne.pl/public_html/assets/img/logos) [<a href='function.scandir'>function.scandir</a>]: failed to open dir: No such file or directory in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 71
[25-Jan-2016 11:48:59] PHP Warning:  scandir() [<a href='function.scandir'>function.scandir</a>]: (errno 2): No such file or directory in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 71
[25-Jan-2016 11:48:59] PHP Warning:  Invalid argument supplied for foreach() in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 74
[25-Jan-2016 11:49:01] PHP Warning:  scandir(/home/biostatv/domains/badania-telefoniczne.pl/public_html/assets/img/logos) [<a href='function.scandir'>function.scandir</a>]: failed to open dir: No such file or directory in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 71
[25-Jan-2016 11:49:01] PHP Warning:  scandir() [<a href='function.scandir'>function.scandir</a>]: (errno 2): No such file or directory in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 71
[25-Jan-2016 11:49:01] PHP Warning:  Invalid argument supplied for foreach() in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 74
[25-Jan-2016 11:49:03] PHP Warning:  scandir(/home/biostatv/domains/badania-telefoniczne.pl/public_html/assets/img/logos) [<a href='function.scandir'>function.scandir</a>]: failed to open dir: No such file or directory in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 71
[25-Jan-2016 11:49:03] PHP Warning:  scandir() [<a href='function.scandir'>function.scandir</a>]: (errno 2): No such file or directory in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 71
[25-Jan-2016 11:49:03] PHP Warning:  Invalid argument supplied for foreach() in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 74
[25-Jan-2016 11:49:05] PHP Warning:  scandir(/home/biostatv/domains/badania-telefoniczne.pl/public_html/assets/img/logos) [<a href='function.scandir'>function.scandir</a>]: failed to open dir: No such file or directory in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 71
[25-Jan-2016 11:49:05] PHP Warning:  scandir() [<a href='function.scandir'>function.scandir</a>]: (errno 2): No such file or directory in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 71
[25-Jan-2016 11:49:05] PHP Warning:  Invalid argument supplied for foreach() in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 74
[25-Jan-2016 11:49:05] PHP Warning:  scandir(/home/biostatv/domains/badania-telefoniczne.pl/public_html/assets/img/logos) [<a href='function.scandir'>function.scandir</a>]: failed to open dir: No such file or directory in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 71
[25-Jan-2016 11:49:05] PHP Warning:  scandir() [<a href='function.scandir'>function.scandir</a>]: (errno 2): No such file or directory in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 71
[25-Jan-2016 11:49:05] PHP Warning:  Invalid argument supplied for foreach() in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 74
[25-Jan-2016 11:49:06] PHP Warning:  scandir(/home/biostatv/domains/badania-telefoniczne.pl/public_html/assets/img/logos) [<a href='function.scandir'>function.scandir</a>]: failed to open dir: No such file or directory in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 71
[25-Jan-2016 11:49:06] PHP Warning:  scandir() [<a href='function.scandir'>function.scandir</a>]: (errno 2): No such file or directory in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 71
[25-Jan-2016 11:49:06] PHP Warning:  Invalid argument supplied for foreach() in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 74
